Organ	Predictor	UKBPPP.Protein.ID	Assay.Target	UniProt.ID	Olink.ID	Protein.Panel	Gene.Symbol	QR0.025	QR0.1	QR0.2	QR0.3	QR0.4	QR0.5	QR0.6	QR0.7	QR0.8	QR0.9	QR0.975
Organismal	CTHRC1	CTHRC1:Q96CG8:OID30393:v1	CTHRC1	Q96CG8	OID30393	Cardiometabolic_II	CTHRC1	0.306030505388477	0.331152999269426	0.298593056475324	0.2538399080705	0.334811324705814	0.31742859510793	0.302552551568045	0.200727660929741	0.246575779833045	0.263547821024438	0.140431133128888
Organismal	CTLA4	CTLA4:P16410:OID30363:v1	CTLA4	P16410	OID30363	Cardiometabolic_II	CTLA4	0	0	0	0	0	0.0118873983491485	0	-0.00147503208735415	0	0	0
Organismal	CTNNA1	CTNNA1:P35221:OID30800:v1	CTNNA1	P35221	OID30800	Neurology_II	CTNNA1	0	0	0	0	0	0	0	0.0118758921280132	0	0	0
Organismal	CTSB	CTSB:P07858:OID20276:v1	CTSB	P07858	OID20276	Cardiometabolic	CTSB	0	0	0	-0.0134396779549074	-0.0124084619602653	0	0	0	0	0	0
Organismal	CTSC	CTSC:P53634:OID20679:v1	CTSC	P53634	OID20679	Inflammation	CTSC	0	0	0.0203094522851801	0.00163703112438033	0	0	0	0.0121841552273996	0	0	0
Organismal	CTSD	CTSD:P07339:OID20358:v1	CTSD	P07339	OID20358	Cardiometabolic	CTSD	0	0.0109838124872097	0	0.0448808439260242	0.0885260594775633	0.0647075823061574	0.0968928615727141	0.067910063925655	0.0141158130620111	0.0508342557436072	0
Organismal	CTSE	CTSE:P14091:OID30628:v1	CTSE	P14091	OID30628	Inflammation_II	CTSE	0	-0.0314195599539424	-0.0661196731362475	-0.0401152946492223	-0.0612712711910564	-0.0428010643792343	-0.0497924430830297	-0.037288380775456	-0.0321953285390422	-0.0522068841767246	-0.0281639658659988
Organismal	CTSF	CTSF:Q9UBX1:OID21500:v1	CTSF	Q9UBX1	OID21500	Oncology	CTSF	0.0331822376557624	0.0282282370104473	0.0254829585129068	0.0602103681190554	0.0419588125684773	0.0461320616825474	0.0711265073132859	0.115760127118075	0.104220295894432	0.0938617109731161	0.133452477853633
Organismal	CTSH	CTSH:P09668:OID20113:v1	CTSH	P09668	OID20113	Cardiometabolic	CTSH	0	0	0	0	0	0	0	0	0	0	0
Organismal	CTSL	CTSL:P07711:OID20228:v1	CTSL	P07711	OID20228	Cardiometabolic	CTSL	0	0	0	-0.0157645144184727	0	0	-0.00441015957785031	0	0	0	0
Organismal	CTSO	CTSO:P43234:OID20660:v1	CTSO	P43234	OID20660	Inflammation	CTSO	0	0	0	0.00247221987007081	0.0309850883695947	0.0260648708816972	0.0201485519332235	0.0227390886454596	0.039245990759972	0.0175084356109233	0
Organismal	CTSV	CTSV:O60911:OID21405:v1	CTSV	O60911	OID21405	Oncology	CTSV	-0.287747949626671	-0.230097563695551	-0.222670653944105	-0.205092937211712	-0.225049042869984	-0.211029262503931	-0.176469337845012	-0.208468512141917	-0.163571517143172	-0.176612445328297	-0.208193017314747
Organismal	CTSZ	CTSZ:Q9UBR2:OID20365:v1	CTSZ	Q9UBR2	OID20365	Cardiometabolic	CTSZ	0.0000804495822265974	0	0	0	0	0.00886298928090933	0.0355688330084424	0.0667264869948741	0.0904373325444444	0.0782119770651633	0
Organismal	CWC15	CWC15:Q9P013:OID31479:v1	CWC15	Q9P013	OID31479	Oncology_II	CWC15	0	0	0	0.0021870856266117	0.0208272293071789	0	0	0	0	0	0
Organismal	CX3CL1	CX3CL1:P78423:OID20976:v1	CX3CL1	P78423	OID20976	Neurology	CX3CL1	0	0	0	0	0.00751669908646158	0.0317444747126858	0	0.00431314013130386	0	0	0
Organismal	CXADR	CXADR:P78310:OID20561:v1	CXADR	P78310	OID20561	Inflammation	CXADR	0	0	-0.0625561637658596	-0.0974375283532581	-0.0596954644172394	-0.0705524292803432	0	0	0	0	0
Organismal	CXCL10	CXCL10:P02778:OID20697:v1	CXCL10	P02778	OID20697	Inflammation	CXCL10	0.00976853526408036	0	0	0.0290081523829622	0.0104867017080836	0.00755215981197424	0	0.0202260512848782	0.00879105380303156	0.0467716895393963	0.00702087532084787
Organismal	CXCL11	CXCL11:O14625:OID21042:v1	CXCL11	O14625	OID21042	Neurology	CXCL11	0	0	0	0	0	0	0	0	0	0	0
Organismal	CXCL12	CXCL12:P48061:OID20464:v1	CXCL12	P48061	OID20464	Inflammation	CXCL12	-0.0547550951272587	-0.0961026652800194	-0.124817096702735	-0.0858926123688278	-0.115977016377835	-0.129430228791309	-0.159909906135248	-0.195369160627926	-0.175185293164052	-0.196784508958991	-0.0817948975793473
Organismal	CXCL14	CXCL14:O95715:OID20458:v1	CXCL14	O95715	OID20458	Inflammation	CXCL14	0.155157727195127	0.123359656648899	0.184931091988327	0.213258616073416	0.202783608527269	0.218284172591524	0.239378684011882	0.239315679609523	0.227553053926815	0.265596193279521	0.304328346674874
Organismal	CXCL16	CXCL16:Q9H2A7:OID20282:v1	CXCL16	Q9H2A7	OID20282	Cardiometabolic	CXCL16	-0.0141577465296888	0	-0.0890892771734164	-0.050621720579275	-0.112368680166211	-0.0596224605315658	-0.0354460327979669	-0.0434275536245309	-0.0368496689871304	0	0
Organismal	CXCL17	CXCL17:Q6UXB2:OID20622:v1	CXCL17	Q6UXB2	OID20622	Inflammation	CXCL17	0.776434544972155	0.841985967900559	0.875378006066176	0.709364520845064	0.831349894833669	0.846957328592922	0.859870533256208	0.820229826423291	0.794278490997416	0.754204542410845	0.571623049097818
Organismal	CXCL3	CXCL3:P19876:OID20788:v1	CXCL3	P19876	OID20788	Inflammation	CXCL3	0	0.0340914594939524	0	0.0119804782976642	0	0.0273995563507608	0.0072801382125647	0.00981076736114681	0.0337634946128813	0.0518476396971634	0
